1	84
2	87
3	78
4	16
5	94
6	36
7	87
8	93
9	50
10	22
11	63
12	28
13	91
14	60
15	64
16	27
17	41
18	27
19	73
20	37
21	12
22	69
23	68
24	30
25	83
26	31
27	63
28	24
29	68
30	36
31	30
32	3
33	23
34	59
35	70
36	68
37	94
38	57
39	12
40	43
41	30
42	74
43	22
44	20
45	85
46	38
47	99
48	25
49	16
50	71
51	14
52	27
53	92
54	81
55	57
56	74
57	63
58	71
59	97
60	82
61	6
62	26
63	85
64	28
65	37
66	6
67	47
68	30
69	14
70	58
71	25
72	96
73	83
74	46
75	15
76	68
77	35
78	65
79	44
80	51
81	88
82	9
83	77
84	79
85	89
86	85
87	4
88	52
89	55
90	100
91	33
92	61
93	77
94	69
95	40
96	13
97	27
98	87
99	95
100	40
